Ccode,Dcode,Scode,EntityName
99,00000,0000000,California Department of Education
00,00000,0000000,State Board of Education
01,10017,0000000,Alameda County Office of Education
02,10025,0000000,Alpine County Office of Education
03,10033,0000000,Amador County Office of Education
04,10041,0000000,Butte County Office of Education
05,10058,0000000,Calaveras County Office of Education
06,10066,0000000,Colusa County Office of Education
07,10074,0000000,Contra Costa County Office of Education
08,10082,0000000,Del Norte County Office of Education
09,10090,0000000,El Dorado County Office of Education
10,10108,0000000,Fresno County Office of Education
11,10116,0000000,Glenn County Office of Education
12,10124,0000000,Humboldt County Office of Education
13,10132,0000000,Imperial County Office of Education
14,10140,0000000,Inyo County Office of Education
15,10157,0000000,Kern County Office of Education
16,10165,0000000,Kings County Office of Education
17,10173,0000000,Lake County Office of Education
18,10181,0000000,Lassen County Office of Education
19,10199,0000000,Los Angeles County Office of Education
20,10207,0000000,Madera County Superintendent of Schools
21,10215,0000000,Marin County Office of Education
22,10223,0000000,Mariposa County Office of Education
23,10231,0000000,Mendocino County Office of Education
24,10249,0000000,Merced County Office of Education
25,10256,0000000,Modoc County Office of Education
26,10264,0000000,Mono County Office of Education
27,10272,0000000,Monterey County Office of Education
28,10280,0000000,Napa County Office of Education
29,10298,0000000,Nevada County Office of Education
30,10306,0000000,Orange County Department of Education
31,10314,0000000,Placer County Office of Education
32,10322,0000000,Plumas County Office of Education
33,10330,0000000,Riverside County Office of Education
34,10348,0000000,Sacramento County Office of Education
35,10355,0000000,San Benito County Office of Education
36,10363,0000000,San Bernardino County Office of Education
37,10371,0000000,San Diego County Office of Education
38,10389,0000000,San Francisco County Office of Education
39,10397,0000000,San Joaquin County Office of Education
40,10405,0000000,San Luis Obispo County Office of Education
41,10413,0000000,San Mateo County Office of Education
42,10421,0000000,Santa Barbara County Office of Education
43,10439,0000000,Santa Clara County Office of Education
44,10447,0000000,Santa Cruz County Office of Education
45,10454,0000000,Shasta County Office of Education
46,10462,0000000,Sierra County Office of Education
47,10470,0000000,Siskiyou County Office of Education
48,10488,0000000,Solano County Office of Education
49,10496,0000000,Sonoma County Office of Education
50,10504,0000000,Stanislaus County Office of Education
51,10512,0000000,Sutter County Office of Education
52,10520,0000000,Tehama County Department of Education
53,10538,0000000,Trinity County Office of Education
54,10546,0000000,Tulare County Office of Education
55,10553,0000000,Tuolumne County Superintendent of Schools
56,10561,0000000,Ventura County Office of Education
