Ccode,Dcode,SchoolCode,Fiscalyear,Period,Colcode,Account,Fund,Resource,Projectyear,Goal,Function,Object,Value
"38","68478","0000000","2020","A   ","BA  ","0100000000000008011","01","0000","0","0000","0000","8011",265279600.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008019","01","0000","0","0000","0000","8019",-134232.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008021","01","0000","0","0000","0000","8021",407892.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008041","01","0000","0","0000","0000","8041",191814864.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008042","01","0000","0","0000","0000","8042",11609456.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008043","01","0000","0","0000","0000","8043",-1278717.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008044","01","0000","0","0000","0000","8044",5894902.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008045","01","0000","0","0000","0000","8045",17798466.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008047","01","0000","0","0000","0000","8047",18057297.82
"38","68478","0000000","2020","A   ","BA  ","0100000000000008096","01","0000","0","0000","0000","8096",-28101217.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008290","01","0000","0","0000","0000","8290",705203.39
"38","68478","0000000","2020","A   ","BA  ","0100000000000008550","01","0000","0","0000","0000","8550",2064142.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008590","01","0000","0","0000","0000","8590",234126.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000008622","01","0000","0","0000","0000","8622",31269945.77
"38","68478","0000000","2020","A   ","BA  ","0100000000000008650","01","0000","0","0000","0000","8650",9275950.06
"38","68478","0000000","2020","A   ","BA  ","0100000000000008660","01","0000","0","0000","0000","8660",1998002.12
"38","68478","0000000","2020","A   ","BA  ","0100000000000008662","01","0000","0","0000","0000","8662",90449.28
"38","68478","0000000","2020","A   ","BA  ","0100000000000008691","01","0000","0","0000","0000","8691",16951.65
"38","68478","0000000","2020","A   ","BA  ","0100000000000008699","01","0000","0","0000","0000","8699",16810008.75
"38","68478","0000000","2020","A   ","BA  ","0100000000000008980","01","0000","0","0000","0000","8980",-88296436.49
"38","68478","0000000","2020","A   ","BA  ","0100000000000008990","01","0000","0","0000","0000","8990",3241853.64
"38","68478","0000000","2020","A   ","BA  ","0100000000000009110","01","0000","0","0000","0000","9110",57786673.86
"38","68478","0000000","2020","A   ","BA  ","0100000000000009111","01","0000","0","0000","0000","9111",90449.28
"38","68478","0000000","2020","A   ","BA  ","0100000000000009120","01","0000","0","0000","0000","9120",-513824.49
"38","68478","0000000","2020","A   ","BA  ","0100000000000009130","01","0000","0","0000","0000","9130",500.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000009150","01","0000","0","0000","0000","9150",9000000.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000009200","01","0000","0","0000","0000","9200",2342786.72
"38","68478","0000000","2020","A   ","BA  ","0100000000000009290","01","0000","0","0000","0000","9290",92237910.93
"38","68478","0000000","2020","A   ","BA  ","0100000000000009320","01","0000","0","0000","0000","9320",1373096.92
"38","68478","0000000","2020","A   ","BA  ","0100000000000009330","01","0000","0","0000","0000","9330",154652.47
"38","68478","0000000","2020","A   ","BA  ","0100000000000009500","01","0000","0","0000","0000","9500",16281534.42
"38","68478","0000000","2020","A   ","BA  ","0100000000000009590","01","0000","0","0000","0000","9590",2394511.98
"38","68478","0000000","2020","A   ","BA  ","0100000000000009640","01","0000","0","0000","0000","9640",100620581.65
"38","68478","0000000","2020","A   ","BA  ","0100000000000009650","01","0000","0","0000","0000","9650",417125.51
"38","68478","0000000","2020","A   ","BA  ","0100000000000009711","01","0000","0","0000","0000","9711",500.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000009712","01","0000","0","0000","0000","9712",1373096.92
"38","68478","0000000","2020","A   ","BA  ","0100000000000009713","01","0000","0","0000","0000","9713",154652.47
"38","68478","0000000","2020","A   ","BA  ","0100000000000009789","01","0000","0","0000","0000","9789",18477051.00
"38","68478","0000000","2020","A   ","BA  ","0100000000000009790","01","0000","0","0000","0000","9790",22753191.74
"38","68478","0000000","2020","A   ","BA  ","0100000000000009791","01","0000","0","0000","0000","9791",23024663.84
"38","68478","0000000","2020","A   ","BA  ","010000000000000979Z","01","0000","0","0000","0000","979Z",42758492.13
"38","68478","0000000","2020","A   ","BA  ","0100000000021001300","01","0000","0","0000","2100","1300",266059.91
"38","68478","0000000","2020","A   ","BA  ","0100000000021002300","01","0000","0","0000","2100","2300",202097.82
"38","68478","0000000","2020","A   ","BA  ","0100000000021002400","01","0000","0","0000","2100","2400",451307.28
"38","68478","0000000","2020","A   ","BA  ","0100000000021002900","01","0000","0","0000","2100","2900",97934.03
"38","68478","0000000","2020","A   ","BA  ","0100000000021003101","01","0000","0","0000","2100","3101",42731.96
"38","68478","0000000","2020","A   ","BA  ","0100000000021003301","01","0000","0","0000","2100","3301",3696.77
"38","68478","0000000","2020","A   ","BA  ","0100000000021003302","01","0000","0","0000","2100","3302",215685.35
"38","68478","0000000","2020","A   ","BA  ","0100000000021003402","01","0000","0","0000","2100","3402",98545.87
"38","68478","0000000","2020","A   ","BA  ","0100000000021003501","01","0000","0","0000","2100","3501",132.77
"38","68478","0000000","2020","A   ","BA  ","0100000000021003502","01","0000","0","0000","2100","3502",374.17
"38","68478","0000000","2020","A   ","BA  ","0100000000021003601","01","0000","0","0000","2100","3601",6092.67
"38","68478","0000000","2020","A   ","BA  ","0100000000021003602","01","0000","0","0000","2100","3602",16297.25
"38","68478","0000000","2020","A   ","BA  ","0100000000021003701","01","0000","0","0000","2100","3701",14350.15
"38","68478","0000000","2020","A   ","BA  ","0100000000021003702","01","0000","0","0000","2100","3702",50083.38
"38","68478","0000000","2020","A   ","BA  ","0100000000021004300","01","0000","0","0000","2100","4300",24773.66
"38","68478","0000000","2020","A   ","BA  ","0100000000021004400","01","0000","0","0000","2100","4400",44716.86
"38","68478","0000000","2020","A   ","BA  ","0100000000021005200","01","0000","0","0000","2100","5200",-613.47
"38","68478","0000000","2020","A   ","BA  ","0100000000021005300","01","0000","0","0000","2100","5300",528.40
"38","68478","0000000","2020","A   ","BA  ","0100000000021005600","01","0000","0","0000","2100","5600",3966.25
"38","68478","0000000","2020","A   ","BA  ","0100000000021005800","01","0000","0","0000","2100","5800",3111158.33
"38","68478","0000000","2020","A   ","BA  ","0100000000021005900","01","0000","0","0000","2100","5900",12091.88
"38","68478","0000000","2020","A   ","BA  ","010000000002100PCRA","01","0000","0","0000","2100","PCRA",-10854301.49
"38","68478","0000000","2020","A   ","BA  ","0100000000024202300","01","0000","0","0000","2420","2300",74348.71
"38","68478","0000000","2020","A   ","BA  ","0100000000024203302","01","0000","0","0000","2420","3302",23766.55
"38","68478","0000000","2020","A   ","BA  ","0100000000024203402","01","0000","0","0000","2420","3402",10490.84
"38","68478","0000000","2020","A   ","BA  ","0100000000024203502","01","0000","0","0000","2420","3502",38.55
"38","68478","0000000","2020","A   ","BA  ","0100000000024203602","01","0000","0","0000","2420","3602",1761.70
"38","68478","0000000","2020","A   ","BA  ","0100000000024203702","01","0000","0","0000","2420","3702",5045.15
"38","68478","0000000","2020","A   ","BA  ","0100000000024204300","01","0000","0","0000","2420","4300",4583.28
"38","68478","0000000","2020","A   ","BA  ","0100000000024204400","01","0000","0","0000","2420","4400",3305.94
"38","68478","0000000","2020","A   ","BA  ","0100000000024205800","01","0000","0","0000","2420","5800",414.50
"38","68478","0000000","2020","A   ","BA  ","010000000002420PCRA","01","0000","0","0000","2420","PCRA",-156768.80
"38","68478","0000000","2020","A   ","BA  ","0100000000024955900","01","0000","0","0000","2495","5900",4747.93
"38","68478","0000000","2020","A   ","BA  ","010000000002495PCRA","01","0000","0","0000","2495","PCRA",-4747.93
"38","68478","0000000","2020","A   ","BA  ","0100000000027001300","01","0000","0","0000","2700","1300",19375076.72
"38","68478","0000000","2020","A   ","BA  ","0100000000027002400","01","0000","0","0000","2700","2400",11326550.82
"38","68478","0000000","2020","A   ","BA  ","0100000000027002900","01","0000","0","0000","2700","2900",431.22
"38","68478","0000000","2020","A   ","BA  ","0100000000027003101","01","0000","0","0000","2700","3101",3149415.76
"38","68478","0000000","2020","A   ","BA  ","0100000000027003102","01","0000","0","0000","2700","3102",-1025.34
"38","68478","0000000","2020","A   ","BA  ","0100000000027003301","01","0000","0","0000","2700","3301",270788.47
